fund_id,transaction_date,transaction_type,amount,nav
13,26/11/2021,Purchase,2411.76,185.52
13,24/01/2022,Purchase,2998.88,187.43
13,15/02/2022,Purchase,2752.2,183.48
13,22/02/2022,Purchase,9175,183.5
13,22/02/2022,Purchase,7353.2,183.83
13,24/02/2022,Purchase,9687.6,179.4
13,24/02/2022,Purchase,9660.6,178.9
13,24/02/2022,Purchase,3945.7,179.35
13,24/02/2022,Purchase,2506,179
13,4/3/2022,Purchase,5279.4,175.98
13,7/3/2022,Purchase,13776,172.2
13,8/3/2022,Purchase,8529.5,170.59
13,8/3/2022,Purchase,9543.6,173.52
13,9/3/2022,Purchase,9611.25,174.75
13,9/3/2022,Purchase,10630.2,177.17
13,6/5/2022,Purchase,8890.5,177.81
13,11/5/2022,Purchase,523.35,174.45
13,12/5/2022,Purchase,13752,171.9
13,16/05/2022,Purchase,9147.27,172.59
13,19/05/2022,Purchase,10320,172
13,13/06/2022,Purchase,10335,172.25
13,13/06/2022,Purchase,10314,171.9
13,12/7/2022,Purchase,9623.9,174.98
13,15/03/2023,Purchase,24924,186
